family,category
Roboto,sans-serif
Open Sans,sans-serif
Google Sans,sans-serif
Inter,sans-serif
Montserrat,sans-serif
Poppins,sans-serif
Noto Sans JP,sans-serif
Lato,sans-serif
Roboto Condensed,sans-serif
Arimo,sans-serif
Oswald,sans-serif
Noto Sans,sans-serif
DM Sans,sans-serif
Raleway,sans-serif
Nunito,sans-serif
Nunito Sans,sans-serif
Playfair Display,serif
Rubik,sans-serif
Roboto Slab,serif
Archivo Black,sans-serif
Noto Sans KR,sans-serif
Ubuntu,sans-serif
Kanit,sans-serif
Manrope,sans-serif
Outfit,sans-serif
Merriweather,serif
Work Sans,sans-serif
Lora,serif
Prompt,sans-serif
Black Ops One,display
Noto Sans TC,sans-serif
Bebas Neue,sans-serif
PT Sans,sans-serif
Saira,sans-serif
Mulish,sans-serif
Figtree,sans-serif
Plus Jakarta Sans,sans-serif
Bricolage Grotesque,sans-serif
Barlow,sans-serif
Source Sans 3,sans-serif
Share Tech,sans-serif
Quicksand,sans-serif
Smooch Sans,sans-serif
Karla,sans-serif
IBM Plex Sans,sans-serif
Jost,sans-serif
Archivo,sans-serif
Heebo,sans-serif
Fira Sans,sans-serif
Noto Serif,serif
Titillium Web,sans-serif
Space Grotesk,sans-serif
Fjalla One,sans-serif
Libre Baskerville,serif
Noto Color Emoji,sans-serif
PT Serif,serif
Noto Sans SC,sans-serif
Cormorant Garamond,serif
Dancing Script,handwriting
Lobster Two,display
Noto Serif JP,serif
Libre Franklin,sans-serif
Changa One,display
Alfa Slab One,display
Barlow Condensed,sans-serif
Public Sans,sans-serif
Anton,sans-serif
EB Garamond,serif
Josefin Sans,sans-serif
Instrument Serif,serif
Nanum Gothic,sans-serif
Google Sans Flex,sans-serif
Sora,sans-serif
Lilita One,display
Assistant,sans-serif
Schibsted Grotesk,sans-serif
Inter Tight,sans-serif
Cairo,sans-serif
Lexend,sans-serif
Cabin,sans-serif
Mukta,sans-serif
M PLUS Rounded 1c,sans-serif
Dosis,sans-serif
Hind Siliguri,sans-serif
Bitter,serif
Noto Sans Telugu,sans-serif
Fraunces,serif
Roboto Flex,sans-serif
Ramabhadra,sans-serif
Urbanist,sans-serif
Exo 2,sans-serif
Anek Telugu,sans-serif
Noto Sans Khmer,sans-serif
Red Hat Display,sans-serif
Geist,sans-serif
Rajdhani,sans-serif
DM Serif Display,serif
Caveat,handwriting
Hind,sans-serif
Orbitron,sans-serif
Oxygen,sans-serif
Fredoka,sans-serif
Overpass,sans-serif
Crimson Text,serif
Instrument Sans,sans-serif
Source Serif 4,serif
Bungee,display
Slabo 27px,serif
Pacifico,handwriting
Cinzel,serif
Tajawal,sans-serif
